REQUEST,RESPONSE
Compute 1000*1921,"1000 multiplied by 1921 is equal to 1,921,000."
Compute 1000*1922,"1000*1922 = 1,922,000."
Compute 1000*1923,"The product of 1000 and 1923 is 1,923,000."
Compute 1000*1924,"1000 multiplied by 1924 is equal to 1,924,000."
Compute 1000*1925,"The multiplication 1000 * 1925 equals 1,925,000."
Compute 1000*1926,"The result of 1000 multiplied by 1926 is 1,926,000."
Compute 1000*1927,"1000 * 1927 = 1,927,000"
Compute 1000*1928,"1000 * 1928 = 1,928,000"
Compute 1000*1929,"The product of 1000 and 1929 is 1,929,000."
Compute 1000*1930,"1000*1930 = 1,930,000"
Compute 1000*1931,"The product of 1000 and 1931 is 1,931,000."
Compute 1000*1932,"The product of 1000 and 1932 is 1,932,000."
Compute 1000*1933,"The product of 1000 and 1933 is 1,933,000."
Compute 1000*1934,"1000*1934 equals 1,934,000."
Compute 1000*1935,"The product of 1000 and 1935 is 1,935,000."
Compute 1000*1936,"1936*1000 equals 1,936,000."
Compute 1000*1937,"The product of 1000 and 1937 is 1,937,000."
Compute 1000*1938,"The product of 1000 and 1938 is 1,938,000."
Compute 1000*1939,"The product of 1000 and 1939 is 1,939,000."
Compute 1000*1940,"The product of 1000 and 1940 is 1,940,000."
Compute 1000*1941,"1000 * 1941 = 1,941,000"
Compute 1000*1942,"1000 * 1942 = 1,942,000."
Compute 1000*1943,"The product of 1000 multiplied by 1943 is 1,943,000."
Compute 1000*1944,"The product of 1000 and 1944 is 1,944,000."
Compute 1000*1945,"The product of 1000 multiplied by 1945 is 1,945,000."
Compute 1000*1946,"1000 multiplied by 1946 is equal to 1,946,000."
Compute 1000*1947,"The product of 1000 and 1947 is 1,947,000."
Compute 1000*1948,"The result of 1000 multiplied by 1948 is 1,948,000."
Compute 1000*1949,"1000*1949 = 1,949,000"
Compute 1000*1950,"The product of 1000 and 1950 is 1,950,000."
Compute 1000*1951,"The product of 1000 and 1951 is 1,951,000."
Compute 1000*1952,"The product of 1000 and 1952 is 1,952,000."
Compute 1000*1953,"The product of 1000 and 1953 is 1,953,000."
Compute 1000*1954,"1000 * 1954 = 1,954,000"
Compute 1000*1955,"1000 * 1955 = 1,955,000"
Compute 1000*1956,"The product of 1000 and 1956 is 1,956,000."
Compute 1000*1957,"The product of 1000 and 1957 is 1,957,000."
Compute 1000*1958,"The product of 1000 multiplied by 1958 is 1,958,000."
Compute 1000*1959,"1000 * 1959 = 1,959,000"
Compute 1000*1960,"The product of 1000 and 1960 is 1,960,000."
Compute 1000*1961,"The product of 1000 and 1961 is 1,961,000."
Compute 1000*1962,"1000*1962 = 1,962,000"
Compute 1000*1963,"The result of 1000 multiplied by 1963 is 1,963,000."
Compute 1000*1964,"The product of 1000 and 1964 is 1,964,000."
Compute 1000*1965,"1000 * 1965 = 1,965,000."
Compute 1000*1966,"The answer is 1,966,000."
Compute 1000*1967,"The product of 1000 and 1967 is 1,967,000."
Compute 1000*1968,"The result of calculating 1000*1968 is 1,968,000."
Compute 1000*1969,"The answer is 1,969,000."
Compute 1000*1970,"The product of 1000 and 1970 is 1,970,000."
Compute 1000*1971,"1000 * 1971 = 1,971,000."
Compute 1000*1972,"The result of 1000 multiplied by 1972 is 1,972,000."
Compute 1000*1973,"1000*1973 = 1,973,000."
Compute 1000*1974,"1000 * 1974 = 1,974,000"
Compute 1000*1975,"The product of 1000 and 1975 is 1,975,000."
